PARTIDO,NUM_VOTOS,PORCENTAJE
RC,0,0
SUMAR,46,"11,004784688995215311004784688995215311"
Electores,522,100
Abstenciones,114,"21,83908045977011494252873563218390804598"
Votantes,408,"78,16091954022988505747126436781609195402"
Blancos,8,"1,96078431372549019607843137254901960784"
Validos,407,"99,75490196078431372549019607843137254902"
Nulos,1,",2450980392156862745098039215686274509804"
PSOE,119,"29,16666666666666666666666666666666666667"
FO,0,0
PP,185,"45,34313725490196078431372549019607843137"
PACMA,2,",4901960784313725490196078431372549019608"
PCTE,0,0
PUM J,0,0
VOX,40,"9,80392156862745098039215686274509803922"
PUEDE,0,0
AEEV,1,",2450980392156862745098039215686274509804"
RC,0,0
SUMAR,52,"12,74509803921568627450980392156862745098"
Electores,442,100
Abstenciones,115,"26,01809954751131221719457013574660633484"
Votantes,327,"73,98190045248868778280542986425339366516"
Blancos,1,",3058103975535168195718654434250764525994"
Validos,326,"99,6941896024464831804281345565749235474"
Nulos,1,",3058103975535168195718654434250764525994"
PSOE,82,"25,07645259938837920489296636085626911315"
FO,0,0
PP,152,"46,48318042813455657492354740061162079511"
PACMA,1,",3058103975535168195718654434250764525994"
PCTE,0,0
PUM J,1,",3058103975535168195718654434250764525994"
VOX,46,"14,06727828746177370030581039755351681957"
PUEDE,0,0
AEEV,4,"1,2232415902140672782874617737003058104"
RC,0,0
SUMAR,39,"11,92660550458715596330275229357798165138"
Electores,540,100
Abstenciones,129,"23,88888888888888888888888888888888888889"
Votantes,411,"76,11111111111111111111111111111111111111"
Blancos,1,",24330900243309002433090024330900243309"
Validos,410,"99,75669099756690997566909975669099756691"
Nulos,1,",24330900243309002433090024330900243309"
PSOE,101,"24,57420924574209245742092457420924574209"
FO,0,0
PP,200,"48,661800486618004866180048661800486618"
PACMA,1,",24330900243309002433090024330900243309"
PCTE,1,",24330900243309002433090024330900243309"
PUM J,0,0
VOX,53,"12,89537712895377128953771289537712895377"
PUEDE,0,0
AEEV,3,",7299270072992700729927007299270072992701"
RC,0,0
SUMAR,50,"12,1654501216545012165450121654501216545"
Electores,584,100
Abstenciones,144,"24,65753424657534246575342465753424657534"
Votantes,440,"75,34246575342465753424657534246575342466"
Blancos,4,",9090909090909090909090909090909090909091"
Validos,437,"99,31818181818181818181818181818181818182"
Nulos,3,",6818181818181818181818181818181818181818"
PSOE,157,"35,68181818181818181818181818181818181818"
FO,1,",2272727272727272727272727272727272727273"
PP,158,"35,90909090909090909090909090909090909091"
PACMA,0,0
PCTE,0,0
PUM J,0,0
VOX,50,"11,36363636363636363636363636363636363636"
PUEDE,1,",2272727272727272727272727272727272727273"
AEEV,1,",2272727272727272727272727272727272727273"
RC,0,0
SUMAR,65,"14,77272727272727272727272727272727272727"
Electores,601,100
Abstenciones,162,"26,95507487520798668885191347753743760399"
Votantes,439,"73,04492512479201331114808652246256239601"
Blancos,6,"1,36674259681093394077448747152619589977"
Validos,434,"98,86104783599088838268792710706150341686"
Nulos,5,"1,13895216400911161731207289293849658314"
PSOE,158,"35,99088838268792710706150341685649202733"
FO,2,",4555808656036446469248291571753986332574"
PP,129,"29,3849658314350797266514806378132118451"
PACMA,1,",2277904328018223234624145785876993166287"
PCTE,3,",6833712984054669703872437357630979498861"
PUM J,0,0
VOX,50,"11,38952164009111617312072892938496583144"
PUEDE,0,0
AEEV,2,",4555808656036446469248291571753986332574"
RC,0,0
SUMAR,83,"18,90660592255125284738041002277904328018"
Electores,609,100
Abstenciones,146,"23,97372742200328407224958949096880131363"
Votantes,463,"76,02627257799671592775041050903119868637"
Blancos,6,"1,29589632829373650107991360691144708423"
Validos,460,"99,35205183585313174946004319654427645788"
Nulos,3,",6479481641468682505399568034557235421166"
PSOE,132,"28,50971922246220302375809935205183585313"
FO,1,",2159827213822894168466522678185745140389"
PP,187,"40,38876889848812095032397408207343412527"
PACMA,2,",4319654427645788336933045356371490280778"
PCTE,0,0
PUM J,0,0
VOX,55,"11,87904967602591792656587473002159827214"
PUEDE,0,0
AEEV,1,",2159827213822894168466522678185745140389"
RC,0,0
SUMAR,76,"16,41468682505399568034557235421166306695"
Electores,647,100
Abstenciones,161,"24,88408037094281298299845440494590417311"
Votantes,486,"75,11591962905718701700154559505409582689"
Blancos,3,",6172839506172839506172839506172839506173"
Validos,478,"98,35390946502057613168724279835390946502"
Nulos,8,"1,64609053497942386831275720164609053498"
PSOE,143,"29,42386831275720164609053497942386831276"
FO,0,0
PP,200,"41,15226337448559670781893004115226337449"
PACMA,5,"1,02880658436213991769547325102880658436"
PCTE,1,",2057613168724279835390946502057613168724"
PUM J,2,",4115226337448559670781893004115226337449"
VOX,60,"12,34567901234567901234567901234567901235"
PUEDE,0,0
AEEV,2,",4115226337448559670781893004115226337449"
RC,0,0
SUMAR,62,"12,75720164609053497942386831275720164609"
Electores,432,100
Abstenciones,101,"23,37962962962962962962962962962962962963"
Votantes,331,"76,62037037037037037037037037037037037037"
Blancos,2,",6042296072507552870090634441087613293051"
Validos,331,100
Nulos,0,0
PSOE,104,"31,41993957703927492447129909365558912387"
FO,2,",6042296072507552870090634441087613293051"
PP,126,"38,06646525679758308157099697885196374622"
PACMA,3,",9063444108761329305135951661631419939577"
PCTE,1,",3021148036253776435045317220543806646526"
PUM J,1,",3021148036253776435045317220543806646526"
VOX,30,"9,06344410876132930513595166163141993958"
PUEDE,0,0
AEEV,1,",3021148036253776435045317220543806646526"
RC,0,0
SUMAR,61,"18,42900302114803625377643504531722054381"
Electores,395,100
Abstenciones,98,"24,81012658227848101265822784810126582278"
Votantes,297,"75,18987341772151898734177215189873417722"
Blancos,4,"1,34680134680134680134680134680134680135"
Validos,297,100
Nulos,0,0
PSOE,87,"29,29292929292929292929292929292929292929"
FO,0,0
PP,123,"41,41414141414141414141414141414141414141"
PACMA,1,",3367003367003367003367003367003367003367"
PCTE,1,",3367003367003367003367003367003367003367"
PUM J,0,0
VOX,30,"10,1010101010101010101010101010101010101"
PUEDE,0,0
AEEV,1,",3367003367003367003367003367003367003367"
RC,0,0
SUMAR,50,"16,83501683501683501683501683501683501684"
Electores,439,100
Abstenciones,92,"20,95671981776765375854214123006833712984"
Votantes,347,"79,04328018223234624145785876993166287016"
Blancos,2,",576368876080691642651296829971181556196"
Validos,345,"99,4236311239193083573487031700288184438"
Nulos,2,",576368876080691642651296829971181556196"
PSOE,83,"23,91930835734870317002881844380403458213"
FO,0,0
PP,166,"47,83861671469740634005763688760806916427"
PACMA,1,",288184438040345821325648414985590778098"
PCTE,3,",8645533141210374639769452449567723342939"
PUM J,1,",288184438040345821325648414985590778098"
VOX,38,"10,95100864553314121037463976945244956772"
PUEDE,0,0
AEEV,1,",288184438040345821325648414985590778098"
RC,0,0
SUMAR,50,"14,4092219020172910662824207492795389049"
Electores,486,100
Abstenciones,124,"25,51440329218106995884773662551440329218"
Votantes,362,"74,48559670781893004115226337448559670782"
Blancos,1,",2762430939226519337016574585635359116022"
Validos,360,"99,4475138121546961325966850828729281768"
Nulos,2,",5524861878453038674033149171270718232044"
PSOE,90,"24,8618784530386740331491712707182320442"
FO,1,",2762430939226519337016574585635359116022"
PP,164,"45,30386740331491712707182320441988950276"
PACMA,3,",8287292817679558011049723756906077348066"
PCTE,2,",5524861878453038674033149171270718232044"
PUM J,1,",2762430939226519337016574585635359116022"
