PARTIDO,NUM_VOTOS,PORCENTAJE
Abstenciones,155,"29,86512524084778420038535645472061657033"
Abstenciones,213,"34,86088379705400981996726677577741407529"
Abstenciones,176,"29,43143812709030100334448160535117056856"
Abstenciones,151,"29,32038834951456310679611650485436893204"
Abstenciones,90,"16,60516605166051660516605166051660516605"
Abstenciones,169,"24,24677187948350071736011477761836441894"
Abstenciones,190,"26,0989010989010989010989010989010989011"
Abstenciones,129,"22,59194395796847635726795096322241681261"
Abstenciones,226,"29,85468956406869220607661822985468956407"
Abstenciones,195,"25,42372881355932203389830508474576271186"
Abstenciones,107,"24,42922374429223744292237442922374429224"
Abstenciones,179,"24,93036211699164345403899721448467966574"
Abstenciones,191,"34,79052823315118397085610200364298724954"
Abstenciones,216,27
Abstenciones,203,"25,72877059569074778200253485424588086185"
Abstenciones,162,"30,79847908745247148288973384030418250951"
Abstenciones,110,"25,28735632183908045977011494252873563218"
Abstenciones,143,"21,15384615384615384615384615384615384615"
Abstenciones,129,"25,24461839530332681017612524461839530333"
Abstenciones,137,"26,34615384615384615384615384615384615385"
